review id,author_id,listing_id,body,cleanliness,communication,checkin,accuracy,location,value,,
1,78,7,This place is incredible. The views are amazing. The pictures can't even do it justice. The concierge is incredibly responsive and helpful. Well worth it!!,5,4,5,4,4,3,,
2,30,19,Absolutely loved our stay at this place. The view from the balcony was breathtaking and the interior was cozy and inviting. The host was friendly and accommodating. Highly recommend!,5,3,5,5,5,4,,
3,76,16,Absolutely stunning! The views from here are breathtaking. The cozy interior and comfortable furnishings made for a perfect stay. Can't wait to come back!,5,3,4,4,3,5,,
4,39,19,Absolutely stunning views from this incredible place. The pictures don't do it justice. The concierge was super helpful and responsive. Would definitely stay again!,5,4,3,5,3,5,,
5,29,17,"Wow, what a breathtaking view! This place exceeded all of my expectations. The concierge was extremely attentive and helpful. I can't wait to come back and stay here again.",4,3,4,3,4,5,,
6,57,30,"Absolutely loved our stay here! The scenery was breathtaking, and the cozy and charming atmosphere made it even better. The attention to detail in the decor was impressive. Couldn't have asked for a better experience. Would highly recommend!",5,5,5,4,3,4,,
7,79,19,The place was absolutely incredible. The scenery was breathtaking and the views were beyond amazing. The host was extremely helpful and responsive. It was worth every penny and I would definitely stay there again.,5,4,4,5,3,5,,
8,70,9,"The stay was absolutely incredible. The views were breathtaking, even better than the pictures. The service provided by the concierge was outstanding, always responsive and helpful. It was definitely worth it and I would love to stay here again.",4,5,4,5,4,5,,
9,78,19,"Stunning views, incredible concierge, worth every penny!",4,5,4,4,5,5,,
10,73,29,Absolutely loved our stay at this amazing place. The views were breathtaking and the staff was incredibly friendly and helpful. Highly recommend!,4,5,5,5,5,5,,
11,17,19,Quaint cottage with a breathtaking view. Peaceful and cozy. Loved every moment!,5,5,5,4,5,4,,
12,24,15,This place is incredible. The views are amazing. The pictures can't even do it justice. The concierge is incredibly responsive and helpful. Well worth it!!,3,5,4,4,4,5,,
13,90,20,"This place exceeded our expectations. The breathtaking views, cozy atmosphere, and friendly staff made our stay unforgettable. Highly recommend!",5,4,5,4,4,4,,
14,9,15,Absolutely loved my stay at this incredible place. The views are breathtaking and the pictures don't do it justice. The concierge was extremely helpful and responsive. I would definitely stay here again without hesitation.,4,4,5,5,4,5,,
15,64,19,"The place is absolutely stunning. The views are breathtaking and the atmosphere is peaceful and relaxing. The interior is cozy and charming, making it feel like a home away from home. The host was attentive and accommodating, ensuring that our stay was comfortable and enjoyable. We would definitely return to this incredible place.",4,4,4,3,5,5,,
16,58,12,Absolutely loved the cozy cabin and peaceful atmosphere. The fireplace was a wonderful touch. Can't wait to come back!,4,4,4,4,5,5,,
17,96,30,"The perfect getaway! Amazing views, cozy atmosphere, and a helpful host. Can't wait to come back!",4,5,4,5,5,5,,
18,41,16,Absolutely loved our stay at this place. The view from the balcony was breathtaking and the interior was cozy and inviting. The host was friendly and accommodating. Highly recommend!,5,4,4,5,4,4,,
19,32,9,"Our stay was absolutely amazing! The cozy and beautifully decorated space instantly made us feel at home. The location was perfect, with stunning views and easy access to all the attractions. The host was incredibly friendly and made sure we had everything we needed for a comfortable stay. We can't wait to come back and experience this wonderful hideaway again!",5,5,5,5,4,4,,
20,70,26,"Our stay was absolutely perfect! The space was stylish, clean, and had everything we needed. The location was ideal for exploring the city and the host was incredibly helpful and responsive. Can't wait to come back!",5,5,5,4,4,4,,
21,13,12,"My stay was absolutely fantastic! The accommodations were clean, cozy, and beautifully decorated. The host was incredibly friendly and went above and beyond to ensure my comfort. The location was perfect, with easy access to everything I needed. I had a memorable experience and would definitely stay again in the future!",3,3,4,4,5,5,,
22,41,30,"My stay was fantastic! The accommodations were clean and comfortable, and the host went above and beyond to ensure I had a great experience. The location was perfect and I loved the unique touches in the decor. Highly recommended!",5,5,4,4,4,5,,
23,24,30,Our stay was absolutely charming! The space was exquisitely decorated and the attention to detail was remarkable. The host made us feel right at home and provided outstanding recommendations for local attractions. The cozy atmosphere and comfortable amenities ensured a truly delightful experience.,5,5,4,5,4,5,,
24,74,21,"My stay was absolutely wonderful! The space was immaculate, beautifully decorated, and had all the amenities I needed. The host was incredibly welcoming and provided helpful recommendations for local attractions. The location was perfect - within walking distance to fantastic dining and shopping options. I truly had a memorable experience and would highly recommend it to anyone in need of a comfortable and enjoyable stay.",5,5,4,4,5,4,,
25,50,30,"I had a fantastic time staying at this cozy hideaway. The space was beautifully decorated and had such a warm and inviting atmosphere. The host was incredibly friendly and provided great recommendations for local attractions. The location was perfect, making it easy to explore the surrounding area. I thoroughly enjoyed my stay and would highly recommend this lovely retreat to others!",5,5,5,5,4,4,,
26,93,29,My recent stay exceeded expectations! The cozy and well-decorated space instantly made me feel at home. The host went above and beyond to make my stay comfortable and provided excellent recommendations for local attractions. I thoroughly enjoyed the peaceful neighborhood and convenient location. Will definitely be back!,5,5,5,4,4,5,,
27,2,21,"My stay exceeded expectations. The space was beautifully designed, cozy, and spotlessly clean. The host was incredibly accommodating and provided thoughtful touches throughout my stay. I would highly recommend this experience.",4,5,4,3,4,4,,
